68-1;00:00:53;15.75;100.00;7.82;9.00;593;14.28;15.95;303.07;9.70;0
68-1;00:01:53;15.75;100.00;7.82;8.98;593;14.28;14.84;303.07;9.70;0
68-1;00:02:53;15.75;100.00;7.82;8.99;593;14.28;14.71;303.07;9.70;0
68-1;00:03:53;15.73;100.00;7.83;8.98;592;15.63;14.47;303.07;9.70;0
68-1;00:04:53;15.73;100.00;7.82;8.96;593;14.28;15.16;303.07;9.70;0
68-1;00:05:53;15.72;100.00;7.82;8.96;593;14.28;15.16;303.07;9.70;0
68-1;00:06:53;15.72;100.00;7.82;9.01;593;14.28;15.73;303.07;9.70;0
68-1;00:07:53;15.72;100.00;7.83;8.97;592;15.63;16.91;303.07;9.70;0
68-1;00:08:53;15.71;100.00;7.82;9.00;593;14.28;14.60;303.07;9.70;0
68-1;00:09:53;15.71;100.00;7.82;8.97;592;15.63;15.40;303.07;9.70;0
68-1;00:10:53;15.70;100.00;7.82;9.01;592;15.63;15.09;303.07;9.70;0
68-1;00:11:53;15.70;100.00;7.83;9.01;593;14.28;15.35;303.07;9.70;0
68-1;00:12:53;15.68;100.00;7.82;8.96;593;14.28;16.51;303.07;9.70;0
68-1;00:13:53;15.66;100.00;7.82;8.96;593;14.28;15.27;303.31;9.67;0
68-1;00:14:53;15.67;100.00;7.83;9.03;593;14.28;15.36;303.43;9.66;0
68-1;00:15:53;15.66;100.00;7.82;9.00;593;14.28;15.33;303.07;9.70;0
68-1;00:16:53;15.66;100.00;7.83;8.98;593;14.28;15.81;303.31;9.66;0
68-1;00:17:53;15.65;100.00;7.82;8.99;593;14.28;14.49;303.43;9.64;0
68-1;00:18:53;15.65;100.00;7.82;8.96;592;15.63;15.14;303.67;9.63;0
68-1;00:19:53;15.65;100.00;7.82;9.01;593;14.28;14.54;303.43;9.66;0
68-1;00:20:53;15.65;100.00;7.82;8.95;593;14.28;15.82;303.55;9.64;0
68-1;00:21:53;15.63;100.00;7.82;8.95;593;14.28;14.81;303.67;9.63;0
68-1;00:22:53;15.62;100.00;7.82;9.00;593;14.28;15.07;303.67;9.63;0
68-1;00:23:53;15.63;100.00;7.82;8.92;593;14.28;16.46;303.67;9.63;0
68-1;00:24:53;15.62;100.00;7.82;8.95;593;14.28;15.46;303.67;9.63;0
68-1;00:25:53;15.60;100.00;7.82;8.96;593;14.28;15.10;303.67;9.63;0
68-1;00:26:53;15.60;100.00;7.82;8.95;594;12.99;16.53;303.67;9.63;0
68-1;00:27:53;15.59;100.00;7.82;8.96;593;14.28;14.93;303.67;9.63;0
68-1;00:28:53;15.58;100.00;7.82;8.97;593;14.28;14.92;303.67;9.63;0
68-1;00:29:53;15.57;100.00;7.82;9.02;593;14.28;15.29;303.67;9.63;0
68-1;00:30:53;15.57;100.00;7.82;8.96;593;14.28;15.20;303.67;9.63;0
68-1;00:31:53;15.55;100.00;7.82;8.96;593;14.28;15.90;303.67;9.63;0
68-1;00:32:53;15.56;100.00;7.82;8.96;593;14.28;16.35;303.67;9.63;0
68-1;00:33:53;15.54;100.00;7.82;9.00;593;14.28;15.43;303.67;9.63;0
68-1;00:34:53;15.55;100.00;7.82;8.95;593;14.28;16.26;303.67;9.63;0
68-1;00:35:53;15.53;100.00;7.82;8.98;594;12.99;17.75;303.67;9.63;0
68-1;00:36:53;15.53;100.00;7.82;8.97;593;14.28;17.11;303.67;9.63;0
68-1;00:37:53;15.53;100.00;7.82;8.97;593;14.28;16.57;303.67;9.63;0
