68-1;14:26:59;23.03;45.12;9.13;8.51;805;nan;128.78;315.03;8.66;0
68-1;14:27:59;22.95;47.75;9.13;7.49;823;nan;128.77;0.00;8.72;0
68-1;14:28:59;22.71;46.69;8.62;8.41;917;nan;128.78;0.00;8.87;0
68-1;14:29:59;22.49;46.20;8.45;8.29;897;nan;0.82;0.00;9.00;0
68-1;14:30:59;22.21;45.26;8.39;9.26;868;nan;1.43;0.00;9.17;0
68-1;14:31:59;22.22;48.38;179.52;0.00;889;nan;7120443212451886923776.00;0.00;0.00;0
68-1;14:35:34;21.68;36.25;8.12;9.12;731;nan;0.00;0.00;10.62;0
68-1;14:36:34;21.20;43.72;8.16;9.07;703;nan;0.00;0.00;10.62;0
68-1;14:37:34;21.22;46.77;8.10;9.07;680;nan;0.00;0.00;10.78;0
68-1;14:38:34;21.11;50.17;8.01;9.06;713;nan;0.00;0.00;10.92;0
68-1;14:39:34;21.05;51.67;7.97;9.03;815;nan;0.00;0.00;10.99;0
68-1;14:40:34;20.78;49.02;7.93;9.00;916;nan;0.00;0.00;11.13;0
68-1;14:41:34;20.66;42.62;8.05;8.96;903;nan;0.00;0.00;11.22;0
68-1;14:42:34;20.80;46.72;8.02;8.96;861;nan;0.00;0.00;11.29;0
68-1;14:43:34;20.86;38.94;8.08;8.94;823;nan;0.00;0.00;10.99;0
68-1;14:44:34;20.92;36.84;8.13;8.87;776;nan;26.49;0.00;11.13;0
68-1;14:45:34;20.98;40.02;8.10;8.88;862;nan;128.79;0.00;10.19;0
68-1;14:46:34;20.99;43.62;8.14;8.92;914;nan;0.63;0.00;10.48;0
68-1;14:47:34;21.04;50.88;8.14;8.82;889;nan;0.06;0.00;10.68;0
68-1;14:48:34;20.87;49.53;8.16;8.85;846;nan;0.24;0.00;10.75;0
68-1;14:49:34;20.86;50.59;7.95;8.58;784;nan;3.23;295.13;9.16;0
68-1;14:52:51;20.70;49.56;7.90;9.00;614;0.33;82.32;297.91;8.84;0
68-1;14:53:51;20.46;45.05;7.93;9.13;596;10.63;82.68;298.25;8.80;0
68-1;14:54:51;20.41;50.64;7.94;9.21;593;14.28;58.01;298.95;8.72;0
68-1;14:55:51;20.35;51.69;7.95;9.27;592;15.63;54.58;298.95;8.72;0
68-1;14:56:51;20.41;52.77;7.95;9.30;592;15.63;46.27;299.54;8.66;0
68-1;14:57:51;20.29;53.19;7.95;9.32;592;15.63;41.98;296.95;8.66;0
68-1;14:58:51;20.16;52.89;7.94;9.39;592;15.63;37.68;296.95;8.66;0
68-1;14:59:51;20.12;53.35;7.94;9.35;592;15.63;35.07;296.95;8.66;0
68-1;15:00:51;20.09;56.02;7.95;9.37;592;15.63;30.23;297.53;8.59;0
