68-2;11:52:33;26.23;30.61;179.31;0.00;2;35779.82;0.00;-0.00;-0.00;0
68-2;11:54:48;26.49;24.38;524.92;0.00;18288;nan;0.00;-15763964495396864.00;0.00;0
68-2;11:55:48;26.23;19.09;524.92;0.00;18288;nan;0.00;-15763964495396864.00;0.00;0
68-2;11:56:47;26.31;21.49;7.88;9.62;612;0.68;0.00;477.32;9.77;0
68-2;11:57:47;26.53;23.75;8.32;9.52;611;0.92;0.00;477.70;9.74;0
68-2;11:58:47;26.30;23.69;8.15;9.47;610;1.19;0.00;477.32;9.77;0
68-2;11:59:46;26.21;25.82;7.94;9.44;610;1.19;0.00;477.32;9.77;0
68-2;12:06:07;25.39;20.41;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:07:07;25.42;22.56;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:08:07;25.44;23.88;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:09:07;25.71;22.47;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:10:08;26.01;23.61;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:11:08;26.13;21.36;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:12:08;26.28;27.42;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:13:08;26.36;24.80;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:14:08;26.32;26.05;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:15:08;26.35;30.78;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:16:08;26.17;20.64;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:17:08;26.14;20.21;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:18:08;26.35;28.53;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;12:19:08;26.42;30.20;524.92;0.00;18288;nan;0.00;0.00;-0.00;0
68-2;11:53:57;24.02;23.62;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;11:54:57;24.29;21.58;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;11:55:57;24.73;22.11;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;11:56:57;25.09;22.10;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;11:57:57;25.35;23.78;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;11:58:57;25.59;23.83;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;11:59:57;25.78;26.17;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:00:57;25.94;25.86;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:01:57;26.08;26.03;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:02:57;26.19;26.39;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:03:57;26.25;24.90;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:04:57;26.33;24.54;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:05:57;26.40;24.32;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:06:57;26.45;24.64;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:07:58;26.51;24.73;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:08:58;26.55;25.09;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:09:58;26.58;25.24;524.92;0.00;18288;nan;0.00;0.00;0.00;0
68-2;12:10:58;26.60;25.60;524.92;0.00;18288;nan;0.00;0.00;0.00;0
